USERNAME, TIMESTAMP, ACTION, RESOURCE
fzalcala, 01/03/2015 07:12:20AM, merge, message M3062
lqmadden, 01/03/2015 10:53:15AM, merge, system alert CA00306
quhundley, 11/21/2017 10:10:45PM, schedule, system alert CA01893
quhundley, 11/23/2017 12:41:01AM, schedule, office visit OV05067
dsblythe, 01/27/2016 09:58:53PM, enable, system alert CA04762
quhundley, 01/27/2016 11:24:37PM, view, system alert CA01837
dsblythe, 01/27/2016 11:52:02PM, assign, ICD-9 Code 790
qylarry, 02/01/2016 02:33:44AM, create, system alert CA04840
lqmadden, 02/01/2016 05:29:16AM, cancel, notification NX4083
fzalcala, 02/01/2016 07:12:57AM, unmerge, office visit OV00787
fzalcala, 02/01/2016 12:14:32AM, assign, notification NX1212
xcherndon, 02/01/2016 01:28:46PM, create, system alert CA04840
lqmadden, 02/01/2016 02:36:37PM, export, LOINC code 270
fzalcala, 02/01/2016 09:26:23PM, schedule, office visit OV04151
dsblythe, 02/01/2016 12:10:54PM, schedule, appointment A002321
dsblythe, 02/02/2016 03:41:42AM, create, system alert CA04840
fzalcala, 02/02/2016 09:49:02AM, update, office visit OV04352
xcherndon, 02/02/2016 11:10:04AM, enable, appointment A004546
fzalcala, 02/03/2016 07:37:58AM, update, notification NX3502
dsblythe, 02/03/2016 10:36:25AM, assign, system alert CA04561
lqmadden, 02/04/2016 06:33:19AM, complete, ICD-9 Code 905
lqmadden, 02/04/2016 08:39:42AM, import, office visit OV02939
qylarry, 02/04/2016 01:47:00PM, import, notification NX0848
quhundley, 02/04/2016 02:38:51PM, sort, patient specific instructions A493
xcherndon, 02/04/2016 03:47:50PM, cancel, notification NX1842
fzalcala, 02/04/2016 06:42:41PM, schedule, appointment A002321
fzalcala, 02/04/2016 08:28:13PM, delete, ICD-9 Code 261
dsblythe, 02/05/2016 10:31:47AM, create, message M4467
xcherndon, 02/05/2016 12:45:21PM, merge, system alert CA00306
quhundley, 02/05/2016 06:57:55PM, resolve, ICD-9 Code 444
fzalcala, 02/05/2016 09:40:43PM, query, notification NX2872
lqmadden, 02/05/2016 10:40:26PM, update, patient specific instructions A613
qylarry, 02/05/2016 11:00:18PM, cancel, system alert CA02174
xcherndon, 02/06/2016 12:08:48AM, schedule, ND code 13
dsblythe, 02/06/2016 04:41:52AM, disable, notification NX1054
xcherndon, 02/07/2016 02:18:12AM, unmerge, notification NX1034
fzalcala, 02/08/2016 02:53:32AM, cancel, office visit OV01843
fzalcala, 02/08/2016 07:43:54PM, assign, system alert CA04029
quhundley, 02/09/2016 01:48:18AM, export, office visit OV02309
xcherndon, 02/09/2016 02:39:42AM, unmerge, LOINC code 273
fzalcala, 02/09/2016 03:35:33AM, cancel, office visit OV01843
lqmadden, 02/09/2016 08:05:03AM, cancel, system alert CA02174
fzalcala, 02/09/2016 04:00:37PM, update, notification NX3622
lqmadden, 02/09/2016 09:18:20PM, cancel, system alert CA02693
qylarry, 02/10/2016 02:14:18AM, import, notification NX0848
lqmadden, 02/10/2016 01:22:44PM, sort, appointment A001762
quhundley, 02/10/2016 02:50:20PM, create, message M3668
lqmadden, 02/10/2016 03:54:50PM, create, message M3668
lqmadden, 02/10/2016 07:26:50PM, access, message M4525
fzalcala, 02/10/2016 08:23:05PM, create, message M2751
lqmadden, 02/11/2016 01:13:12AM, query, office visit OV00636
lqmadden, 02/11/2016 02:10:31AM, disable, office visit OV03696
xcherndon, 02/11/2016 05:34:35AM, print, message M2284
fzalcala, 02/11/2016 01:34:32PM, order, appointment A004704
lqmadden, 02/12/2016 12:11:46AM, create, office visit OV01243
fzalcala, 02/12/2016 01:07:31PM, update, CPT Code 89
xcherndon, 02/12/2016 06:14:44PM, modify, appointment A003833
quhundley, 02/12/2016 09:45:34PM, create, system alert CA04840
xcherndon, 02/12/2016 10:37:17PM, unmerge, notification NX1034
fzalcala, 02/12/2016 11:18:47PM, cancel, ND code 147
xcherndon, 02/12/2016 12:50:38PM, complete, appointment A003583
lqmadden, 02/13/2016 07:02:52AM, print, system alert CA04574
xcherndon, 11/23/2017 07:40:02PM, cancel, message M4718
xcherndon, 11/23/2017 09:57:06PM, export, appointment A004719
qylarry, 11/23/2017 10:30:14PM, assign, message M4342
lqmadden, 11/23/2017 11:51:54PM, update, office visit OV02205
fzalcala, 11/24/2017 07:45:18AM, merge, system alert CA01361
xcherndon, 11/24/2017 07:56:06AM, order, system alert CA02526
qylarry, 11/24/2017 10:03:06AM, order, notification NX1379
qylarry, 11/24/2017 04:08:02PM, sort, office visit OV02680
xcherndon, 11/25/2017 01:20:25AM, query, notification NX2872
quhundley, 11/25/2017 06:13:05AM, cancel, system alert CA02174
dsblythe, 11/26/2017 01:22:26AM, sort, system alert CA04760
fzalcala, 11/26/2017 12:15:27AM, sort, system alert CA04760
quhundley, 11/26/2017 12:18:25AM, order, notification NX1379
